Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0057226,0.040853,0.0016811,0,0,0,0.26278,0.00028514,-2.3809E-05,2.4356E-05,0.0004582,1.4094E-05,0.00037252,0,0,0,0,0,0,package://Cobot/meshes/base_link.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://Cobot/meshes/base_link.STL,,Link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0002096,6.5408E-05,0.045542,0,0,0,0.065421,2.0385E-05,-2.2472E-11,-3.5853E-08,2.1853E-05,3.9072E-07,1.2097E-05,0,0,0,0,0,0,package://Cobot/meshes/Link1.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://Cobot/meshes/Link1.STL,,Link2-1,Origin_Joint0,Axis_Joint0,Joint0,revolute,0,0,0.064,0,0,-0.047986,base_link,0,0,1,0,0,0,0,,,,,,,,
Link2,-5.3344E-05,-5.9593E-05,0.11637,0,0,0,0.12624,0.00026005,-1.9474E-11,2.5272E-08,0.00027616,-1.3446E-10,2.721E-05,0,0,0,0,0,0,package://Cobot/meshes/Link2.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://Cobot/meshes/Link2.STL,,Link3-1,Origin_Joint1,Axis_Joint1,Joint1,revolute,0,0.00062634,0.0712,-0.67663,0,0,Link1,1,0,0,0,0,0,0,,,,,,,,
Link3,5.5921E-05,-6.6721E-05,0.09471,0,0,0,0.11268,0.00015766,-3.2067E-10,-9.8194E-09,0.00017451,-3.8422E-09,2.7272E-05,0,0,0,0,0,0,package://Cobot/meshes/Link3.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://Cobot/meshes/Link3.STL,,Link4-1,Origin_Joint2,Axis_Joint2,Joint2,revolute,0,-0.00020923,0.2073,1.9015,0,0,Link2,1,0,0,0,0,0,0,,,,,,,,
Wrist,0.00026493,-5.5511E-17,0.013451,0,0,0,0.0090879,1.2105E-06,1.8289E-21,1.3698E-21,3.6175E-06,2.9697E-20,3.0076E-06,0,0,0,0,0,0,package://Cobot/meshes/Wrist.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://Cobot/meshes/Wrist.STL,,Link5-1,Origin_WristJoint,Axis_WristJoint,WristJoint,revolute,0,-0.00020911,0.1673,0.34589,0,0,Link3,1,0,0,0,0,0,0,,,,,,,,
