Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00525395666776162,0.0408525795740504,-0.00282307452063939,0,0,0,0.262781517647469,0.000298657832416568,2.03974185168871E-05,3.98921535405612E-05,0.000458204278092449,-1.86934752367561E-05,0.000359003269018671,0,0,0,0,0,0,package://CobotASSY/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://CobotASSY/meshes/base_link.STL,,Link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.01271,6.5408E-05,0.063242,0,0,0,0.065421,2.0385E-05,-2.2621E-11,-3.5853E-08,2.1853E-05,3.9072E-07,1.2097E-05,0,0,0,0,0,0,package://CobotASSY/meshes/Link1.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://CobotASSY/meshes/Link1.STL,,Link2-1,Origin_Joint0,,Joint0,revolute,-0.012386,0.0016827,0.0463,0,0,-0.13503,base_link,0,0,0,0,0,0,0,,,,,,,,
Link2,0.0124466636587925,-5.95941678555704E-05,0.116365819603615,0,0,0,0.126238291044564,0.000260048350322063,-1.56028724960849E-11,2.53370157988681E-08,0.000276157182133765,-1.44827890234785E-10,2.72102296500098E-05,0,0,0,0,0,0,package://CobotASSY/meshes/Link2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://CobotASSY/meshes/Link2.STL,,Link3-1,Origin_Joint1,Axis_Joint1,Joint1,revolute,0,0.00062634,0.0889,0,0,0,Link1,1,0,0,0,0,0,0,,,,,,,,
Link3,0.0125559189956351,-6.67246436310775E-05,0.0947095307629157,0,0,0,0.11268362796461,0.000157659793468441,-3.22653920261203E-10,-9.84402629564098E-09,0.000174514600376214,-3.89233565336632E-09,2.72715738576209E-05,0,0,0,0,0,0,package://CobotASSY/meshes/Link3.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://CobotASSY/meshes/Link3.STL,,Link4-1,Origin_Joint2,Axis_Joint2,Joint2,revolute,0,-0.00020923,0.2073,0,0,0,Link2,1,0,0,0,0,0,0,,,,,,,,
Link4,0.0127649372865127,2.64459189193867E-10,0.0152585681228609,0,0,0,0.0101757375861059,1.50046840827186E-06,2.9336577622294E-12,-1.69292407282572E-12,4.12314608309214E-06,-2.95473556254146E-14,3.23610424333155E-06,0,0,0,0,0,0,package://CobotASSY/meshes/Link4.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://CobotASSY/meshes/Link4.STL,,Link5-1,Origin_Joint3,Axis_Joint3,Joint3,revolute,0,-0.00020911,0.1673,0,0,0,Link3,1,0,0,0,0,0,0,,,,,,,,
